PlotID,PINumber,Row,Column,Block,Treatment,DaysToFlower,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBrancSufficientNitrogeno,BranchInternodeLength,ProteinPCT,OilPCT,FiberPCT,AshPCT,StarchPCT,KernelColor
5081,PI 656104,17,25,5,SufficientNitrogen,56.0,36.7,1.26,N,28.0,13.8,386.4,31.0,3.6,9.0,118.0,39.0,4.0,0.33,12.06,6.5,15.33,5.79,2.51,84.0,1.43,11.35,11.9,1.44,2.08,42.81,Brown
5082,PI 651496,18,25,5,SufficientNitrogen,75.0,37.6,4.21,N,17.0,31.5,535.5,26.6,4.7,14.0,249.0,49.0,6.0,0.0,22.57,8.9,24.37,6.45,1.27,52.67,2.47,10.09,12.31,5.51,1.5,71.69,White
5084,PI 656060,20,25,5,SufficientNitrogen,59.0,56.1,3.37,N,14.0,43.7,611.8,31.6,3.5,11.0,87.0,60.5,7.0,0.0,22.41,9.88,16.67,6.61,2.86,51.33,1.6,10.48,12.34,4.38,1.56,71.37,Orange
5085,PI 34911,21,25,5,SufficientNitrogen,67.0,49.5,1.4,Y,4.0,,,42.6,5.8,13.0,89.0,66.0,7.0,1.0,26.78,15.29,21.25,11.79,1.25,64.5,3.25,,,,,,
5086,PI 656022,22,25,5,SufficientNitrogen,68.0,44.5,,Y,3.0,,,,,,,75.0,7.7,,,,,,,,,,,,,,
5087,PI 564163,23,25,5,SufficientNitrogen,59.0,44.3,3.6,N,14.0,74.6,1044.4,47.9,4.9,11.0,108.0,63.0,7.5,0.33,23.21,11.28,26.57,7.47,1.09,60.67,2.3,10.19,13.39,4.24,1.59,73.09,White
5088,PI 656080,24,25,5,SufficientNitrogen,64.0,50.8,9.81,N,23.0,8.4,193.2,49.5,4.8,9.0,60.0,69.5,7.5,0.33,19.87,8.95,23.53,6.97,1.56,43.33,2.53,10.58,15.45,2.81,2.09,54.53,Brown
5089,PI 656090,25,25,5,SufficientNitrogen,65.0,39.7,8.05,N,25.0,5.4,135.0,33.9,3.3,11.0,103.0,55.5,4.3,0.33,20.97,8.96,29.67,5.82,0.79,62.33,3.1,11.58,13.72,0.83,2.01,54.24,Brown
5090,PI 533842,26,25,5,SufficientNitrogen,75.0,43.0,8.14,Y,8.0,6.0,48.0,49.8,5.7,12.0,77.0,61.0,6.0,1.67,26.06,12.11,16.67,8.19,3.4,77.0,1.2,,,,,,
5091,PI 656018,27,25,5,SufficientNitrogen,69.0,46.1,4.12,N,18.0,67.7,1218.6,44.3,4.5,14.0,97.0,78.0,7.0,0.0,29.7,14.19,16.77,8.17,3.67,49.67,3.37,10.36,9.54,4.72,1.32,74.24,Orange
5092,PI 533759,15,24,5,SufficientNitrogen,60.0,42.6,3.67,N,25.0,30.5,762.5,41.5,5.6,8.0,57.0,60.0,7.5,0.67,26.97,12.69,23.27,10.27,2.9,64.33,2.23,10.51,14.04,4.25,1.6,67.44,Mustard
5093,PI 533987,16,24,5,SufficientNitrogen,57.0,47.6,5.92,N,17.0,44.5,756.5,41.0,5.0,10.0,88.0,60.0,7.0,1.33,23.83,11.77,22.83,8.29,1.39,57.67,1.5,10.9,14.12,4.5,1.42,71.16,Orange
5094,PI 576350,17,24,5,SufficientNitrogen,50.0,44.4,18.5,Y,30.0,,,48.4,4.2,7.0,103.0,59.0,4.7,1.0,12.97,6.25,30.77,4.53,1.07,80.0,3.37,,,,,,
5095,PI 576376,18,24,5,SufficientNitrogen,62.0,46.8,6.42,N,10.0,38.2,382.0,46.1,5.2,12.0,85.0,58.0,5.7,0.0,28.28,14.51,24.53,10.92,0.8,80.67,1.67,10.18,15.28,4.08,1.66,68.54,Mustard
5096,PI 656093,19,24,5,SufficientNitrogen,69.0,51.8,6.19,N,10.0,12.1,121.0,46.8,3.8,11.0,157.0,69.0,5.1,0.33,18.97,8.2,23.03,5.99,2.17,51.0,2.83,9.52,11.32,4.72,1.41,72.84,White
5097,PI 533957,20,24,5,SufficientNitrogen,55.0,39.35,7.02,N,22.0,31.6,695.2,48.3,4.5,9.0,71.0,64.5,6.1,0.67,22.82,9.16,2.9,5.13,3.13,28.67,9.9,10.92,13.36,4.25,1.58,68.4,Brown
5100,PI 564163,23,24,5,SufficientNitrogen,59.0,49.4,7.73,N,21.0,37.5,787.5,41.5,4.8,10.0,128.0,65.0,7.2,0.0,20.09,9.95,29.67,7.41,3.06,58.0,2.83,10.82,10.74,3.35,1.72,62.89,Orange
5101,PI 656110,24,24,5,SufficientNitrogen,72.0,38.0,3.84,N,24.0,38.4,921.6,40.6,4.8,15.0,110.0,72.0,8.0,2.33,17.98,8.65,27.63,7.17,2.08,37.0,4.97,10.2,13.27,4.35,1.66,70.57,White
5103,PI 534009,26,24,5,SufficientNitrogen,76.0,43.7,7.52,N,17.0,26.5,450.5,37.9,4.8,12.0,70.0,66.0,6.7,0.0,26.81,12.42,20.8,7.2,3.09,123.33,2.77,10.91,14.27,4.05,2.08,60.39,Yellow
5104,PI 534163,27,24,5,SufficientNitrogen,75.0,39.3,1.42,N,7.0,15.8,110.6,30.6,4.5,14.0,82.0,34.5,5.0,0.33,30.94,9.44,16.5,7.27,4.76,58.0,1.83,10.07,11.82,4.41,1.51,70.51,Mustard
5105,PI 655996,15,23,5,SufficientNitrogen,62.0,51.6,3.05,N,23.0,,,43.6,6.1,13.0,98.0,69.5,6.0,0.0,19.29,9.88,27.93,7.11,3.73,63.33,1.8,10.26,14.02,3.83,1.74,67.26,Mustard
5106,PI 533794,16,23,5,SufficientNitrogen,64.0,55.8,7.32,N,12.0,48.2,578.4,52.6,7.4,13.0,91.0,73.0,8.4,0.33,25.11,11.61,22.43,6.97,2.9,63.33,1.83,10.14,13.88,4.45,1.61,70.66,Mustard
5107,PI 564163,17,23,5,SufficientNitrogen,60.0,41.6,2.0,N,11.0,32.0,352.0,25.0,4.1,7.0,89.0,77.0,7.0,1.0,24.75,11.74,28.33,7.62,3.68,56.0,2.33,10.05,12.19,4.38,1.6,73.03,White
